trial,condition,batch_iterations,batch_wall_clock_seconds,batch_cpu_seconds,wall_clock_seconds_per_verification,cpu_seconds_per_verification,batch_peak_python_tracemalloc_bytes,last_report_status
18,deny_all,500,0.00309795793145895,0.0030289999999997264,6.1959158629179e-06,6.057999999999453e-06,1992,fail
19,permissive_topology_only,500,0.011699332972057164,0.011627999999999972,2.339866594411433e-05,2.3255999999999945e-05,6162,fail
19,deny_all,500,0.0028434169944375753,0.0028380000000005623,5.686833988875151e-06,5.676000000001124e-06,1992,fail
19,proposed_compiled_policy,500,0.005840749945491552,0.005838999999999928,1.1681499890983106e-05,1.1677999999999855e-05,2792,pass
20,deny_all,500,0.002962915925309062,0.0029249999999994003,5.925831850618124e-06,5.8499999999988005e-06,1992,fail
20,proposed_compiled_policy,500,0.00581025006249547,0.005808000000000035,1.162050012499094e-05,1.1616000000000071e-05,2792,pass
20,permissive_topology_only,500,0.01185912499204278,0.0117509999999994,2.3718249984085558e-05,2.35019999999988e-05,6162,fail
21,proposed_compiled_policy,500,0.0060200829757377505,0.005955000000000155,1.20401659514755e-05,1.191000000000031e-05,2792,pass
21,permissive_topology_only,500,0.011548124952241778,0.011509999999999465,2.3096249904483558e-05,2.301999999999893e-05,6162,fail
21,deny_all,500,0.0029624169692397118,0.002908000000000577,5.924833938479424e-06,5.8160000000011535e-06,1992,fail
22,permissive_topology_only,500,0.011422124924138188,0.011359000000000563,2.2844249848276376e-05,2.2718000000001127e-05,6162,fail
22,deny_all,500,0.0031800420256331563,0.00310200000000016,6.360084051266312e-06,6.20400000000032e-06,1992,fail
22,proposed_compiled_policy,500,0.006005374947562814,0.005982000000000376,1.2010749895125627e-05,1.1964000000000751e-05,2792,pass
23,deny_all,500,0.003492458024993539,0.003363000000000227,6.984916049987078e-06,6.726000000000454e-06,1992,fail
23,proposed_compiled_policy,500,0.005937083973549306,0.005924000000000262,1.1874167947098613e-05,1.1848000000000524e-05,2792,pass
23,permissive_topology_only,500,0.011915000039152801,0.011821999999999555,2.38300000783056e-05,2.364399999999911e-05,6162,fail
24,proposed_compiled_policy,500,0.006200500065460801,0.006121000000000265,1.2401000130921602e-05,1.2242000000000531e-05,2792,pass
24,permissive_topology_only,500,0.01154366706032306,0.01146700000000056,2.308733412064612e-05,2.293400000000112e-05,6162,fail
24,deny_all,500,0.002868916024453938,0.002850999999999715,5.737832048907876e-06,5.70199999999943e-06,1992,fail
25,permissive_topology_only,500,0.011604249943047762,0.011542999999999637,2.3208499886095525e-05,2.3085999999999274e-05,6162,fail
25,deny_all,500,0.003004208905622363,0.0029520000000005098,6.008417811244726e-06,5.9040000000010195e-06,1992,fail
25,proposed_compiled_policy,500,0.006427207961678505,0.006296999999999997,1.285441592335701e-05,1.2593999999999993e-05,2792,pass
26,deny_all,500,0.002958207973279059,0.0029200000000004778,5.9164159465581175e-06,5.8400000000009554e-06,1992,fail
26,proposed_compiled_policy,500,0.00851966708432883,0.007938000000000223,1.703933416865766e-05,1.5876000000000446e-05,2792,pass
26,permissive_topology_only,500,0.01395558298099786,0.013341999999999743,2.791116596199572e-05,2.6683999999999486e-05,6162,fail
27,proposed_compiled_policy,500,0.00596199999563396,0.0059200000000005915,1.192399999126792e-05,1.1840000000001183e-05,2792,pass
27,permissive_topology_only,500,0.023401750018820167,0.015241999999999756,4.6803500037640335e-05,3.048399999999951e-05,6162,fail
27,deny_all,500,0.002955332980491221,0.002913999999999639,5.9106659609824415e-06,5.827999999999278e-06,1992,fail
28,permissive_topology_only,500,0.01141483394894749,0.011358000000000423,2.2829667897894978e-05,2.2716000000000848e-05,6162,fail
28,deny_all,500,0.0028386249905452132,0.0028360000000002827,5.677249981090426e-06,5.672000000000566e-06,1992,fail
28,proposed_compiled_policy,500,0.006208042032085359,0.006090000000000373,1.2416084064170719e-05,1.2180000000000746e-05,2792,pass
29,deny_all,500,0.0030897079268470407,0.0030210000000003845,6.179415853694081e-06,6.042000000000769e-06,1992,fail
29,proposed_compiled_policy,500,0.006599250016734004,0.006359999999999921,1.3198500033468007e-05,1.2719999999999843e-05,2792,pass
29,permissive_topology_only,500,0.012440249905921519,0.012083999999999762,2.488049981184304e-05,2.4167999999999522e-05,6162,fail
30,proposed_compiled_policy,500,0.010086624999530613,0.008023999999999809,2.0173249999061225e-05,1.6047999999999617e-05,2792,pass
30,permissive_topology_only,500,0.011743790935724974,0.011627999999999972,2.3487581871449946e-05,2.3255999999999945e-05,6162,fail
30,deny_all,500,0.0028853750554844737,0.0028620000000003643,5.770750110968948e-06,5.724000000000728e-06,1992,fail
