slice_count,status,graph_node_count,graph_edge_count,rule_equivalent_count,required_query_count,forbidden_query_count,total_check_count,path_search_invocation_count,negative_control_passed,median_model_build_ms,median_verification_ms,verification_q1_ms,verification_q3_ms,median_property_criteria_per_second,median_path_searches_per_second,median_python_peak_bytes,median_process_peak_rss_bytes
2,pass,8,5,10,2,4,7,8,True,0.013499462511390448,0.015041499864310026,0.014187797205522656,0.01756194978952408,465382.66494067747,531865.9027893457,1840.0,34013184.0
3,pass,11,7,21,3,12,16,18,True,0.0177919864654541,0.02745847450569272,0.026250025257468224,0.032417301554232836,582699.3975349059,655536.8222267693,2662.0,34013184.0
4,pass,14,9,36,4,24,29,32,True,0.01964543480426073,0.04214548971503973,0.04099999205209315,0.04632302443496883,688094.1235391798,759276.2742501295,5527.0,34029568.0
10,pass,32,21,210,10,180,191,200,True,0.07622950943186879,0.2779584610834718,0.2618127327878028,0.31406275229528546,687220.2768258045,719602.38411079,62717.0,34193408.0
